application_id,occurences
5S09C388774,1
5S31W002708,1
8 33C389950,1
6B15W005141,1
5S34C375141,1
5S34C370316,1
5F15W002597,1
5F15W002596,1
9 37C378659,1
1 25C382724,1
9 37C383690,1
5S39C393957,1
5S34C386114,1
7 33C371074,1
9 37C393143,1
8 33C384377,1
9 37C366706,1
2 01C381781,1
8 30C379949,1
8 36C386970,1
5F10W002858,1
2 01C394964,1
5S05W003213,1
5S51C365902,1
7 13C378241,1
5F16C378615,1
6B36C378536,1
8 30C366560,1
8 33C377157,1
9 37C368091,1
5F15C372303,5
5F15C372300,1
8 36C385440,1
5F10C387314,1
9 37C381905,1
8 33C371977,1
5F10C381410,1
9 37C387933,1
8 33C387116,1
8 30C386784,1
5S29C377897,1
4 19W003259,1
2 28C378614,1
3 42C387305,1
5F15C360888,1
5S39W004253,1
8 33C368351,1
2 43C385844,1
3 42C369250,1
5S55C380777,1
5F16C388615,1
2 49C381142,1
5S39C386514,1
9 37C379232,1
5F10W003816,1
4 19C394176,1
2 43C395146,1
5F15C371655,1
4 19C394178,1
5F10W003818,1
2 43C394231,1
4 19C391527,1
5S07C372330,1
5F24C371831,1
3 40C376561,1
4 19C391528,1
3 40C376566,1
2 01C373988,1
4 19C372591,1
4 56C380766,1
1 49C374213,1
4 56C384863,1
4 56C388153,1
5S39C375721,1
2 48C376535,1
5F10C378175,1
5S09C393327,1
4 56W004274,1
4 19C379305,1
2 21C370024,1
5F10C374651,1
5F10C374650,1
7 13C394087,1
4 19C389214,1
9 30C395023,1
5S48C384169,1
2 41C384997,1
2 43C385599,1
7 13C385637,1
2 43C385596,1
5S39C389862,1
6A31C365146,1
9 37C394288,1
2 43C383854,1
8 30C385743,1
8 30C385746,1
9 37C384566,1
4 19C394481,1
9 37C367439,1
3 44C380611,1
7 13C393681,1
9 33C358364,1
5F10C390881,1
4 56C369886,1
3 27C374621,1
5F10C391758,1
2 01C375912,1
4 19C372377,1
3 56C377302,13
3 56C377304,3
3 56C377305,12
6B36C375108,1
9 37C381425,1
2 41C382292,1
5S31C368484,1
2 43C377833,1
5F10C384132,1
8 33C390227,1
2 41C376171,1
2 41C376170,1
9 37C385213,1
5S48C378634,1
2 43C368465,1
2 01C378898,1
6B15C391722,1
5S31C387790,1
5S39C365279,1
3 27C390949,1
5S31C382311,1
5S31C382310,1
2 43C369992,1
1 49C389492,1
8 30C394998,1
2 28C373152,1
2 28C373155,1
4 19C386804,1
4 19C385394,1
5S34C392084,1
4 19C381831,1
9 37C377355,29
5S51C391210,1
5S34C394873,1
5S31C369999,1
5S34C394876,1
5F10C392226,1
4 19C374436,1
9 37W005047,1
5F54C376280,1
7 33C381520,1
4 56C378994,1
9 33C390766,1
5R45C386990,1
8 36C384184,1
3 40C381626,1
6B36C368793,1
8 36C384182,1
4 56W002092,1
5F20W002054,1
5S57C372008,1
5S57C378063,1
3 27C376488,1
4 19C385641,1
8 30C394997,1
5R45C388597,1
2 41C383658,1
8 36C384456,1
2 43C375992,1
2 43C369735,1
2 43C369733,1
4 56C384452,1
9 33C385774,1
2 07C381112,1
4 19C375748,1
4 19C375749,1
9 37C376084,1
5S07C392994,1
7 33C389196,1
9 37C387216,1
9 37C387217,1
9 37C387215,1
2 28C377672,1
5S31C386119,1
9 37C389840,1
5S31C386110,1
1 49C388458,1
3 42C383523,1
5R45C388333,1
5S31C393609,1
2 43C384851,1
4 19C389932,1
1 49C388457,1
9 37C376559,1
3 27C375822,1
5R45C380103,1
5S57C380195,1
2 43C383083,1
8 30C392001,1
8 30C392003,1
2 01W002533,1
2 07C374354,1
5S29C377669,1
9 37C371682,1
4 19C371118,1
2 49C383810,1
7 33C378655,1
4 19C371112,1
4 19C371117,1
8 36C371480,1
8 36C371487,1
3 35C376157,1
7 13C379971,1
2 21W003693,1
5S58C372520,1
5S39W003377,1
5S39W003376,1
6B36C382266,1
8 36C371733,1
4 19C387092,1
8 36C371739,1
8 33C372789,1
8 33C374377,1
9 30C391000,1
8 36C332153,1
2 48W002327,1
9 37C380292,1
5S34C392706,1
5F54C371810,1
3 40C378739,1
2 07C386239,1
5S34C375789,1
4 19C376469,1
1 49C392183,1
2 43C382842,1
5F54C392652,1
4 19C376461,1
4 19C376463,1
4 19C382117,1
5S48C379719,1
4 19C382111,1
8 30C393838,1
2 07C377193,1
3 40C382080,1
5S57C392350,1
2 38C368526,1
3 40W004400,1
2 49C391734,1
5R04C379940,1
5F10C371766,1
7 33C378696,1
5S50C378155,1
8 33C381345,1
5S57W002362,1
8 33C376206,1
4 56C371759,1
5S57W002367,1
2 43C378669,1
3 44C393974,1
9 37C385754,1
4 56C376901,1
8 33C383295,1
4 19C390589,1
5S39C377866,1
4 19C389698,1
5S34C389012,1
5S34C382314,1
4 19C389694,1
8 30C376634,1
8 30C342564,1
9 37C376606,1
2 48C392603,1
5S31C373951,1
8 30C374708,1
7 33C370633,1
4 19C390050,1
4 56C392288,1
8 30C373570,1
